date,Ps,Ts,TMP_MSS
2024-05-11 09:00:00,1000.48395675,294.80197393915734,261.8087855736026
2024-05-11 12:00:00,1003.2472984480356,295.8818962212946,261.64043542270775
2024-05-11 15:00:00,1003.4413902449108,297.64799271815843,261.74072227505945
2024-05-11 18:00:00,1000.1886436628796,306.20010486342915,262.1252185236334
2024-05-11 21:00:00,998.2517790156252,298.2321936820842,262.1302592471632
2024-05-12 00:00:00,998.7915739375,295.7733493955817,261.81007092129505
2024-05-12 03:00:00,1001.3785850691296,293.77573348586907,261.6343244791529
2024-05-12 06:00:00,999.712472375,293.4218350543917,261.6385996789813
2024-05-12 09:00:00,998.447265625,292.5625696814928,261.4490258140473
2024-05-12 12:00:00,1001.269113,292.18107132182195,261.3729507315117
2024-05-12 15:00:00,999.9124755859376,295.1401369355468,261.3934014855738
2024-05-12 18:00:00,998.7229704218752,292.91640128725714,261.1260366491885
2024-05-12 21:00:00,999.5426725703126,290.0828404197432,260.916859640181
2024-05-13 00:00:00,1003.031295030067,289.4993621484375,260.6707022057624
2024-05-13 03:00:00,1005.4216583371206,288.8995896132812,260.08359838149187
2024-05-13 06:00:00,1003.4940185546876,287.7986056954604,259.66506278794844
2024-05-13 09:00:00,1005.8977751093752,287.07068234765626,259.15322730853836
2024-05-13 12:00:00,1008.976119248817,286.31931781054686,258.97090290197605
2024-05-13 15:00:00,1009.023238389442,286.12109000571144,258.6846486596156
2024-05-13 18:00:00,1008.5353843855356,286.2084774002427,258.7641219647172
2024-05-13 21:00:00,1009.339156358192,285.64871716782085,258.5714058572414
2024-05-14 00:00:00,1012.9019279765624,286.0421995614495,258.3899195285836
2024-05-14 03:00:00,1013.7598381328124,285.4838437304687,258.02488585335834
2024-05-14 06:00:00,1012.2715904402232,285.3445409534208,257.66582414095666
2024-05-14 09:00:00,1013.103804795692,284.5804897477512,257.3681433589597
2024-05-14 12:00:00,1015.9392364621206,286.0192217083929,257.40149210948766
2024-05-14 15:00:00,1013.8647616131358,290.7424900622042,257.6095138558
2024-05-14 18:00:00,1011.0134977656252,291.2910130664062,257.71653958172783
2024-05-14 21:00:00,1010.3673796015626,287.3424619588365,257.8867894037542
2024-05-15 00:00:00,1012.700728623817,284.37293838929406,257.917092054999
2024-05-15 03:00:00,1012.2820884870982,283.1742126796874,258.1568709913857
2024-05-15 06:00:00,1012.366744248817,282.1916046290541,258.1127059600286
2024-05-15 09:00:00,1010.0075163203126,281.1751438303739,258.08409796926844
2024-05-15 12:00:00,1012.5218345808482,284.481965863577,258.17527877007984
2024-05-15 15:00:00,1009.6737760859376,289.94500368989685,258.63702883026144
2024-05-15 18:00:00,1007.0166015625,289.5121541308594,258.7599176494832
2024-05-15 21:00:00,1006.8579846969982,286.90322563701454,259.0366381823017
2024-05-16 00:00:00,1006.1285850691296,286.7116300189244,259.27383556019686
2024-05-16 03:00:00,1004.394775390625,285.6876444116657,259.5545974661079
2024-05-16 06:00:00,1004.376998155067,287.5783585794866,259.38765472462785
2024-05-16 09:00:00,1003.9386436628796,285.67380811357697,259.306580362934
2024-05-16 12:00:00,1004.8238005,288.65431670161547,259.30049013765705
