timestamp,Ts,Ps,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,H_0,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_11,H_12,H_13,H_14,H_15,H_16,H_17,H_18,H_19,H_20,H_21,H_22
2024-05-15 21:00:00,286.90322563701454,1006.8579846969982,288.2148132324219,286.485107421875,284.46881103515625,283.18499755859375,283.36871337890625,283.39691162109375,283.2962951660156,282.4248962402344,279.13079833984375,284.02459716796875,279.9190979003906,275.3645935058594,268.97100830078125,261.486083984375,254.1083984375,248.0760955810547,240.36599731445312,229.5032958984375,217.65660095214844,206.98350524902344,201.95700073242188,209.4459991455078,219.92849731445312,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,128.6501922607422,342.5076904296875,560.3117065429688,782.2490234375,1010.54638671875,1487.0870361328125,1991.97802734375,2530.590087890625,3100.777099609375,3713.876953125,4376.72705078125,5084.84521484375,5845.22412109375,6664.69189453125,7553.98779296875,8536.22265625,9638.7412109375,10892.279296875,12347.6298828125,14143.080078125,16554.30078125,20657.890625,26398.0
2024-05-16 00:00:00,286.7116300189244,1006.1285850691295,287.16131591796875,286.4315185546875,285.1726989746094,284.6414794921875,284.58270263671875,284.3704833984375,285.030517578125,282.53961181640625,281.63311767578125,283.60809326171875,281.10479736328125,275.55621337890625,268.4768981933594,260.86309814453125,254.00210571289062,247.8114013671875,240.07090759277344,229.1894989013672,218.44920349121094,207.16380310058594,200.54440307617188,208.68739318847656,219.36990356445312,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,127.75604248046875,341.00799560546875,558.2003173828125,781.5151977539062,1011.177001953125,1490.4189453125,1997.93212890625,2537.075927734375,3108.738037109375,3725.00390625,4389.10205078125,5099.22216796875,5859.17822265625,6676.0439453125,7565.4951171875,8547.36328125,9648.6435546875,10900.6884765625,12355.990234375,14151.0302734375,16563.0,20661.990234375,26396.099609375
2024-05-16 03:00:00,285.6876444116657,1004.394775390625,286.1625061035156,286.4407958984375,285.93878173828125,285.40960693359375,284.85870361328125,285.40869140625,285.339599609375,283.2333984375,282.9722900390625,283.176513671875,281.0220031738281,274.6687927246094,268.2821960449219,261.39019775390625,254.22140502929688,248.57200622558594,239.33889770507812,228.7041015625,219.83810424804688,206.94810485839844,200.8968048095703,210.01820373535156,220.77459716796875,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,120.64202880859375,332.775390625,550.8292236328125,775.9885864257812,1005.453857421875,1484.2469482421875,1994.178955078125,2534.62890625,3109.423095703125,3725.610107421875,4389.51708984375,5098.1298828125,5857.0478515625,6674.85986328125,7565.0380859375,8549.2568359375,9650.5048828125,10897.9521484375,12359.0302734375,14155.9697265625,16556.80859375,20669.33984375,26410.849609375
2024-05-16 06:00:00,287.5783585794866,1004.376998155067,286.6912841796875,286.4730224609375,285.7330017089844,284.9630126953125,284.6571960449219,286.47149658203125,284.90020751953125,282.3118896484375,283.3043212890625,283.70428466796875,280.46942138671875,274.401611328125,268.3518981933594,261.0838928222656,253.50341796875,247.73080444335938,239.3282012939453,228.652099609375,220.66160583496094,206.3480987548828,200.5811004638672,208.99989318847656,219.98390197753906,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,111.45578002929688,325.0574951171875,543.57763671875,767.17822265625,997.08984375,1477.7120361328125,1988.421875,2527.5849609375,3101.51708984375,3718.0458984375,4382.26611328125,5089.998046875,5848.3759765625,6666.3818359375,7553.009765625,8535.0810546875,9635.1630859375,10883.4326171875,12350.5498046875,14145.4404296875,16536.98046875,20659.400390625,26398.029296875
2024-05-16 09:00:00,285.67380811357697,1003.9386436628795,286.73712158203125,286.26800537109375,285.52459716796875,284.9993896484375,285.45599365234375,285.519287109375,284.70068359375,282.7418212890625,281.8605041503906,283.33551025390625,281.010986328125,274.96978759765625,267.43560791015625,260.4566955566406,254.64459228515625,246.8780059814453,238.40589904785156,228.40330505371094,220.65960693359375,205.6757049560547,202.00289916992188,209.2292022705078,221.55999755859375,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,105.25656127929688,318.7013854980469,538.0635986328125,761.5134887695312,991.259521484375,1471.529052734375,1980.886962890625,2519.681884765625,3092.72802734375,3707.56591796875,4371.5361328125,5081.5419921875,5839.94677734375,6654.61376953125,7544.134765625,8524.9765625,9622.2255859375,10865.8193359375,12335.48046875,14128.0302734375,16522.349609375,20652.4609375,26387.509765625
2024-05-16 12:00:00,288.65431670161547,1004.8238005000001,287.8551025390625,287.1392822265625,287.1502990722656,287.135498046875,287.08349609375,286.408203125,285.34991455078125,283.3953857421875,281.77008056640625,281.02008056640625,279.9794921875,274.40399169921875,267.643798828125,260.93292236328125,253.35321044921875,246.1741943359375,238.8970947265625,227.6107940673828,219.9510955810547,205.4488983154297,202.58380126953125,208.88510131835938,220.47349548339844,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,118.58331298828125,331.5679016113281,552.4588012695312,777.4044799804688,1008.657958984375,1490.906982421875,2001.171875,2541.8310546875,3115.669921875,3727.93994140625,4388.14404296875,5095.7568359375,5853.38720703125,6669.36279296875,7556.94677734375,8531.6015625,9627.431640625,10870.48828125,12336.740234375,14126.26953125,16526.69140625,20669.400390625,26413.41015625
2024-05-16 15:00:00,296.0579508888198,1004.2605070429688,292.58612060546875,290.37841796875,288.3948974609375,286.62890625,286.84539794921875,285.91961669921875,284.8782043457031,283.309814453125,281.3247985839844,279.97479248046875,278.6434020996094,273.89599609375,267.8818054199219,260.9302062988281,253.30459594726562,245.9929962158203,237.84620666503906,228.54080200195312,220.531005859375,206.8531951904297,200.34559631347656,210.2812957763672,220.06089782714844,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,119.74053955078125,335.96649169921875,558.09716796875,782.2568969726562,1014.709716796875,1495.2950439453125,2005.822998046875,2544.639892578125,3118.56298828125,3729.04296875,4386.51611328125,5091.61083984375,5849.498046875,6665.39111328125,7552.68017578125,8528.51953125,9620.6962890625,10863.197265625,12333.5703125,14127.0400390625,16537.1796875,20680.380859375,26451.169921875
2024-05-16 18:00:00,298.33355513686666,1001.9405042282482,295.62579345703125,293.42218017578125,291.189208984375,288.9414978027344,286.6514892578125,285.7514953613281,285.7100830078125,284.15802001953125,281.93731689453125,280.1210021972656,278.4349060058594,273.8522033691406,267.97528076171875,260.969482421875,253.27899169921875,246.5010986328125,237.9051055908203,228.9954071044922,220.6259002685547,207.64410400390625,198.8699951171875,210.2012939453125,219.87820434570312,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,93.8446044921875,313.1669006347656,536.3775024414062,763.611572265625,997.102783203125,1475.7110595703125,1986.162109375,2526.787109375,3101.386962890625,3713.050048828125,4369.3466796875,5074.4921875,5831.9921875,6648.14111328125,7535.18798828125,8512.611328125,9606.3115234375,10851.025390625,12322.9599609375,14122.419921875,16529.0,20665.380859375,26420.970703125
2024-05-16 21:00:00,291.5282909280301,1000.33203125,294.3046875,293.61419677734375,291.38690185546875,289.13690185546875,287.1129150390625,284.7225036621094,285.4512023925781,284.4140930175781,282.2073059082031,280.3623046875,277.57928466796875,273.947509765625,267.76239013671875,260.5664978027344,253.29248046875,245.96189880371094,236.67080688476562,229.78070068359375,221.1855926513672,208.62060546875,199.26150512695312,209.064697265625,220.0290069580078,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,94.28739929199219,312.6520080566406,536.8504028320312,765.0709838867188,997.517578125,1477.967041015625,1986.1669921875,2527.416015625,3102.50390625,3715.055908203125,4371.31005859375,5075.28076171875,5831.64111328125,6647.39306640625,7534.60107421875,8509.8291015625,9599.6552734375,10840.9931640625,12316.48046875,14125.2001953125,16534.83984375,20676.849609375,26425.05078125
2024-05-17 00:00:00,290.47766544365516,1004.111129014442,291.359619140625,291.90960693359375,290.9396057128906,289.1896057128906,287.65960693359375,286.51959228515625,284.6163024902344,282.32958984375,281.25958251953125,280.01129150390625,278.826904296875,273.0202941894531,265.66729736328125,260.6278076171875,253.67959594726562,245.76499938964844,236.58920288085938,229.3740997314453,221.65060424804688,209.67919921875,198.3240966796875,209.81820678710938,221.36070251464844,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,111.15281677246094,329.5437927246094,551.7973022460938,780.0438232421875,1012.53466796875,1495.0789794921875,2004.363037109375,2542.70703125,3114.89697265625,3726.68310546875,4383.00390625,5088.001953125,5840.44091796875,6654.23095703125,7541.4638671875,8518.515625,9607.953125,10847.908203125,12323.4697265625,14135.1103515625,16554.8203125,20688.119140625,26437.8203125
2024-05-17 03:00:00,290.6091034768736,1001.8067442136607,289.76898193359375,290.0789794921875,290.1090087890625,289.1190185546875,288.60821533203125,287.9873046875,284.8660888671875,282.2297058105469,281.9296875,281.0411071777344,276.74749755859375,272.51312255859375,265.8546142578125,260.17529296875,252.943603515625,245.65969848632812,238.1280975341797,232.76499938964844,220.94639587402344,207.7241973876953,200.4113006591797,211.83140563964844,220.41839599609375,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,112.15780639648438,328.010986328125,549.6694946289062,777.30126953125,1010.149658203125,1495.2640380859375,2005.951171875,2544.5380859375,3115.738037109375,3730.4140625,4385.873046875,5085.9091796875,5838.81005859375,6651.56298828125,7536.77880859375,8511.53515625,9600.501953125,10858.2353515625,12340.7900390625,14141.2001953125,16560.94140625,20704.5703125,26454.44921875
2024-05-17 06:00:00,289.3349671550669,1003.5431608515626,288.2539978027344,287.811279296875,289.1038818359375,288.8621826171875,288.8424987792969,287.3560791015625,284.1044006347656,281.587890625,279.6627197265625,280.8577880859375,276.5133972167969,270.2899169921875,265.2062072753906,260.5704040527344,254.2559814453125,246.28919982910156,238.19239807128906,232.72210693359375,220.7803955078125,209.0948028564453,199.40969848632812,210.0023956298828,221.5792999267578,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,115.28520202636719,330.119384765625,550.7702026367188,777.4044189453125,1010.244384765625,1495.3480224609375,2005.01806640625,2542.576904296875,3111.77587890625,3721.583984375,4377.1171875,5074.2548828125,5823.7841796875,6635.9150390625,7524.826171875,8502.759765625,9596.7763671875,10857.556640625,12336.5703125,14141.8203125,16568.30859375,20700.349609375,26440.44921875
2024-05-17 09:00:00,288.2286039450167,1005.204146592567,287.3350830078125,285.88458251953125,287.41290283203125,287.92291259765625,287.8934020996094,286.7633972167969,284.001708984375,281.9678039550781,278.7810974121094,278.99859619140625,277.6575012207031,272.1080017089844,265.606201171875,258.96697998046875,251.73480224609375,246.14979553222656,241.0417938232422,232.5301055908203,221.29800415039062,209.48719787597656,201.88330078125,209.4409942626953,219.55160522460938,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,118.77590942382812,332.6134948730469,551.2608032226562,776.9315185546875,1008.8065185546875,1493.0679931640625,2002.032958984375,2539.97900390625,3109.68408203125,3715.14990234375,4370.97900390625,5073.49609375,5825.01806640625,6635.52099609375,7515.62890625,8488.6298828125,9586.9248046875,10852.662109375,12332.669921875,14145.3095703125,16572.69140625,20690.529296875,26444.619140625
2024-05-17 12:00:00,287.63252946963723,1005.6911100703126,287.24700927734375,286.0552978515625,286.84698486328125,287.10699462890625,286.8370056152344,285.85198974609375,283.60198974609375,282.4620056152344,278.7987060546875,281.65869140625,277.60260009765625,272.177978515625,265.9027099609375,258.6188049316406,251.42739868164062,246.539306640625,240.64340209960938,231.8262939453125,220.77040100097656,209.9575958251953,201.15350341796875,209.30589294433594,218.8592071533203,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,134.69253540039062,347.33380126953125,567.803955078125,792.22607421875,1022.8602294921875,1505.5240478515625,2013.76806640625,2551.85791015625,3122.549072265625,3731.18798828125,4388.6953125,5090.51220703125,5842.703125,6651.97119140625,7531.4091796875,8503.8388671875,9603.1875,10864.98046875,12344.2197265625,14153.76953125,16588.740234375,20708.609375,26456.619140625
2024-05-17 15:00:00,287.6398274290652,1007.2889244245982,286.99151611328125,285.3114929199219,286.36151123046875,286.6331787109375,286.3831787109375,285.533203125,284.06488037109375,282.19488525390625,279.2998962402344,282.740478515625,276.9342041015625,272.38427734375,265.44598388671875,258.01300048828125,252.43389892578125,247.24049377441406,240.62489318847656,231.99249267578125,220.343994140625,210.1707000732422,200.37350463867188,210.08709716796875,220.3177032470703,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,135.05697631835938,348.2283935546875,567.1751708984375,792.0615234375,1023.1121826171875,1504.5269775390625,2013.34912109375,2551.8310546875,3121.72705078125,3736.008056640625,4392.5751953125,5093.7421875,5845.119140625,6653.3818359375,7533.01904296875,8509.009765625,9611.4541015625,10870.583984375,12348.6796875,14157.7099609375,16588.80859375,20719.859375,26471.48046875
2024-05-17 18:00:00,286.71544748404847,1006.3889000105357,286.75250244140625,284.58251953125,284.63250732421875,285.9125061035156,285.6697998046875,284.83428955078125,284.1315002441406,282.035888671875,280.9127197265625,282.20660400390625,277.1051025390625,272.16180419921875,265.9096984863281,258.83599853515625,253.50048828125,247.6427001953125,240.5919952392578,232.7075958251953,220.60699462890625,209.9062957763672,199.16250610351562,209.87930297851562,220.8188018798828,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,126.46560668945312,340.5303039550781,556.3587646484375,780.0950927734375,1011.970458984375,1490.948974609375,1999.2138671875,2537.0,3107.068115234375,3722.820068359375,4378.7197265625,5079.5,5831.8701171875,6642.30810546875,7524.23681640625,8505.169921875,9606.072265625,10866.82421875,12348.2998046875,14155.48046875,16582.73046875,20706.650390625,26463.580078125
2024-05-17 21:00:00,286.6480537286635,1005.919478623817,286.0682067871094,284.15850830078125,284.21832275390625,284.7510986328125,285.0098876953125,284.69000244140625,283.7528076171875,281.9201965332031,281.306884765625,281.493408203125,278.0679016113281,272.2969970703125,266.11688232421875,259.41668701171875,253.41241455078125,247.51190185546875,240.6750030517578,233.27920532226562,219.8769989013672,209.40919494628906,200.46910095214844,208.797607421875,220.87930297851562,1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,50.0,20.0,134.95291137695312,346.14630126953125,563.082763671875,785.9067993164062,1016.8438720703125,1495.8990478515625,2002.14990234375,2539.81591796875,3110.634033203125,3725.469970703125,4382.64306640625,5084.89208984375,5838.1240234375,6649.76318359375,7532.962890625,8512.5029296875,9613.244140625,10880.767578125,12359.7900390625,14165.990234375,16587.53125,20716.619140625,26466.029296875
