timestamp,muons,IoPC,IoTPC,dP,dT,alpha,beta
2024-05-09 00:00:00,1875.5166666666667,1876.7416215123897,1876.9515044623106,1.7741183400471527,0.3370351131792404,-0.0331797600942833,-0.036802284650971816
2024-05-09 01:00:00,1873.3333333333333,1875.1951095813577,1875.3637958466152,2.6991183400471073,0.2711068472964939,-0.0331797600942833,-0.036802284650971816
2024-05-09 02:00:00,1864.5833333333333,1867.0604440706236,1867.187553692073,3.6074516733804103,0.2051785814136906,-0.0331797600942833,-0.036802284650971816
2024-05-09 03:00:00,1875.2166666666667,1877.949783224819,1878.0365519940585,3.957451673380433,0.13925031553094414,-0.0331797600942833,-0.036802284650971816
2024-05-09 04:00:00,1869.25,1872.0375731015743,1872.0215689552344,4.04911834004713,-0.025765974203068254,-0.0331797600942833,-0.036802284650971816
2024-05-09 05:00:00,1878.7166666666667,1881.6857047378712,1881.56659573756,4.290785006713804,-0.19078226393708064,-0.0331797600942833,-0.036802284650971816
2024-05-09 06:00:00,1871.0666666666666,1873.6213428304252,1873.4001690658308,3.707451673380433,-0.35579855367109303,-0.0331797600942833,-0.036802284650971816
2024-05-09 07:00:00,1875.2,1877.9100549984885,1877.6668284630562,3.92411834004713,-0.39038313843582273,-0.0331797600942833,-0.036802284650971816
2024-05-09 08:00:00,1882.8166666666666,1885.2139273605292,1884.9481247701262,3.457451673380433,-0.42496772320060927,-0.0331797600942833,-0.036802284650971816
2024-05-09 09:00:00,1875.6333333333334,1878.050246321383,1877.763906143321,3.4991183400471755,-0.45955230796533897,-0.0331797600942833,-0.036802284650971816
2024-05-09 10:00:00,,,,8.666709602096289e-15,-0.29282533080595385,-0.0331797600942833,-0.036802284650971816
2024-05-09 11:00:00,,,,8.666709602096289e-15,-0.1260983536465119,-0.0331797600942833,-0.036802284650971816
2024-05-09 12:00:00,,,,8.666709602096289e-15,0.04062862351287322,-0.0331797600942833,-0.036802284650971816
2024-05-09 13:00:00,,,,8.666709602096289e-15,0.15438096063536477,-0.0331797600942833,-0.036802284650971816
2024-05-09 14:00:00,1885.8833333333334,1888.7768061517531,1888.9448505156286,4.165785006713804,0.2681332977578563,-0.0331797600942833,-0.036802284650971816
2024-05-09 15:00:00,1888.3,1890.7042422442728,1890.9438261701382,3.457451673380433,0.38188563488029104,-0.0331797600942833,-0.036802284650971816
2024-05-09 16:00:00,1882.5666666666666,1884.2584694764319,1884.5328177443778,2.4407850067137815,0.43879017064284653,-0.0331797600942833,-0.036802284650971816
2024-05-09 17:00:00,1905.5,1906.516490672379,1906.8300818264918,1.4491183400471073,0.4956947064054589,-0.0331797600942833,-0.036802284650971816
2024-05-09 18:00:00,1895.7666666666667,1896.2719408157566,1896.6196562434081,0.7241183400470845,0.5525992421680144,-0.0331797600942833,-0.036802284650971816
2024-05-09 19:00:00,,,,8.666709602096289e-15,0.6300456240059589,-0.0331797600942833,-0.036802284650971816
2024-05-09 20:00:00,,,,8.666709602096289e-15,0.7074920058439034,-0.0331797600942833,-0.036802284650971816
2024-05-09 21:00:00,1885.3833333333334,1885.550412817919,1886.0415507915213,0.24078500671384973,0.7849383876818479,-0.0331797600942833,-0.036802284650971816
2024-05-09 22:00:00,1889.9,1890.2471818564686,1890.7650262860316,0.4991183400471755,0.825558752547181,-0.0331797600942833,-0.036802284650971816
2024-05-09 23:00:00,1908.7833333333333,1909.1749698574663,1909.7237382526682,0.5574516733804558,0.8661791174124573,-0.0331797600942833,-0.036802284650971816
2024-05-10 00:00:00,1897.8166666666666,1898.1944100764874,1898.765613143591,0.5407850067138043,0.9067994822777905,-0.0331797600942833,-0.036802284650971816
2024-05-10 01:00:00,1896.65,1896.8122606565616,1897.430513255087,0.23245167338041028,0.9821947143462353,-0.0331797600942833,-0.036802284650971816
2024-05-10 02:00:00,1895.2881355932204,1895.497376086427,1896.1626338374297,0.29996579767430376,1.05758994641468,-0.0331797600942833,-0.036802284650971816
2024-05-10 03:00:00,1894.8333333333333,1894.6351486587102,1895.3475171351845,-0.2842149932862412,1.1329851784831249,-0.0331797600942833,-0.036802284650971816
2024-05-10 04:00:00,1903.3166666666666,1902.7207479897554,1903.4174279131719,-0.8508816599528473,1.1033301950984082,-0.0331797600942833,-0.036802284650971816
2024-05-10 05:00:00,,,,8.666709602096289e-15,1.0736752117136348,-0.0331797600942833,-0.036802284650971816
2024-05-10 06:00:00,1897.5666666666666,1896.216392358306,1896.8733619588934,-1.9342149932862185,1.0440202283289182,-0.0331797600942833,-0.036802284650971816
2024-05-10 07:00:00,1890.6166666666666,1889.421991113009,1890.07098931766,-1.7175483266195215,1.0350628246138172,-0.0331797600942833,-0.036802284650971816
2024-05-10 08:00:00,,,,8.666709602096289e-15,1.026105420898773,-0.0331797600942833,-0.036802284650971816
2024-05-10 09:00:00,,,,8.666709602096289e-15,1.017148017183672,-0.0331797600942833,-0.036802284650971816
2024-05-10 10:00:00,,,,8.666709602096289e-15,1.0740874981743787,-0.0331797600942833,-0.036802284650971816
2024-05-10 11:00:00,,,,8.666709602096289e-15,1.1310269791651422,-0.0331797600942833,-0.036802284650971816
2024-05-10 12:00:00,1898.0666666666666,1898.0660507991665,1898.8143483724627,-0.0008816599528245206,1.1879664601558488,-0.0331797600942833,-0.036802284650971816
2024-05-10 13:00:00,1906.0,1905.7831130059908,1906.5555103316592,-0.3092149932862185,1.2212541498374776,-0.0331797600942833,-0.036802284650971816
2024-05-10 14:00:00,1912.7166666666667,1912.117804898014,1912.913897207247,-0.8508816599528473,1.2545418395191632,-0.0331797600942833,-0.036802284650971816
2024-05-10 15:00:00,,,,8.666709602096289e-15,1.2878295292007351,-0.0331797600942833,-0.036802284650971816
2024-05-10 16:00:00,1910.8333333333333,1909.5146117220802,1910.3954746128302,-1.8758816599528245,1.389990831341379,-0.0331797600942833,-0.036802284650971816
2024-05-10 17:00:00,1909.2,1907.3558700340204,1908.3004214173989,-2.6258816599528245,1.4921521334820227,-0.0331797600942833,-0.036802284650971816
2024-05-10 18:00:00,1906.3,1904.096582065385,1905.1040953810598,-3.1425483266195897,1.5943134356226665,-0.0331797600942833,-0.036802284650971816
2024-05-10 19:00:00,1907.0,1904.451141698323,1905.5232080843973,-3.6342149932861503,1.696119288165562,-0.0331797600942833,-0.036802284650971816
2024-05-10 20:00:00,1879.6,1877.0820072427723,1878.2021094128588,-3.6425483266195897,1.7979251407084575,-0.0331797600942833,-0.036802284650971816
2024-05-10 21:00:00,1867.1666666666667,1864.7282364792309,1865.9039940329117,-3.5508816599528927,1.89973099325141,-0.0331797600942833,-0.036802284650971816
2024-05-10 22:00:00,1854.4166666666667,1852.0800863816748,1853.1988423985288,-3.4258816599528927,1.8199993993881662,-0.0331797600942833,-0.036802284650971816
2024-05-10 23:00:00,1839.5762711864406,1837.4489259820562,1838.510206016754,-3.14410199893598,1.7402678055248657,-0.0331797600942833,-0.036802284650971816
2024-05-11 00:00:00,1825.7833333333333,1824.0309650476454,1825.0362135723187,-2.609214993286173,1.660536211661622,-0.0331797600942833,-0.036802284650971816
2024-05-11 01:00:00,1825.6166666666666,1824.166534064007,1825.1474279087452,-2.1592149932862412,1.6201959609417713,-0.0331797600942833,-0.036802284650971816
2024-05-11 02:00:00,1817.4,1816.0733527179752,1817.0255740000812,-1.984214993286173,1.5798557102218638,-0.0331797600942833,-0.036802284650971816
2024-05-11 03:00:00,1823.3166666666666,1821.9074732997324,1822.838355097607,-2.1008816599528473,1.539515459502013,-0.0331797600942833,-0.036802284650971816
2024-05-11 04:00:00,1823.5593220338983,1821.7902433717832,1822.7101912828377,-2.6373223379189312,1.5215351669321535,-0.0331797600942833,-0.036802284650971816
