timestamp,Ps,Ts,TMP_MSS
2024-09-17 11:00:00,1007.571466832939,293.05585504988375,259.4723647618036
2024-09-17 12:00:00,1007.565185546875,296.2019678356417,259.533573289557
2024-09-17 13:00:00,1007.0130441770833,299.8319748010872,259.7541277038594
2024-09-17 14:00:00,1006.4609028072916,303.4619817665327,259.97468211816175
2024-09-17 15:00:00,1005.9087614375,307.0919887319782,260.19523653246415
2024-09-17 16:00:00,1004.5658252395833,307.54363975741813,260.37359643052963
2024-09-17 17:00:00,1003.2228890416666,307.99529078285804,260.55195632859517
2024-09-17 18:00:00,1001.87995284375,308.446941808298,260.73031622666065
2024-09-17 19:00:00,1001.0767210282514,306.43066824529484,260.7415733309068
2024-09-17 20:00:00,1000.2734892127529,304.4143946822917,260.75283043515293
2024-09-17 21:00:00,999.4702573972544,302.39812111928853,260.7640875393991
2024-09-17 22:00:00,1000.5199084835863,299.83061498837986,260.6009927659313
2024-09-17 23:00:00,1001.569559569918,297.2631088574712,260.43789799246355
2024-09-18 00:00:00,1002.61921065625,294.6956027265625,260.27480321899577
2024-09-18 01:00:00,1002.4493294713542,294.478914620492,260.3855917989928
2024-09-18 02:00:00,1002.2794482864583,294.2622265144215,260.49638037898984
2024-09-18 03:00:00,1002.1095671015626,294.045538408351,260.60716895898685
2024-09-18 04:00:00,1002.0340462682292,293.17894111658575,260.46618474307644
2024-09-18 05:00:00,1001.9585254348959,292.31234382482046,260.3252005271661
2024-09-18 06:00:00,1001.8830046015626,291.4457465330552,260.1842163112557
2024-09-18 07:00:00,1001.7545459427083,291.3875150434719,260.1797432757069
2024-09-18 08:00:00,1001.6260872838542,291.32928355388856,260.1752702401581
2024-09-18 09:00:00,1001.497628625,291.27105206430525,260.17079720460936
2024-09-18 10:00:00,1001.8427936193973,294.5795031917615,260.23575104571904
2024-09-18 11:00:00,1002.1879586137946,297.8879543192178,260.3007048868288
2024-09-18 12:00:00,1002.533123608192,301.196405446674,260.36565872793847
2024-09-18 13:00:00,1002.7195258009003,304.96535725792126,260.52371115241147
2024-09-18 14:00:00,1002.9059279936087,308.73430906916843,260.68176357688446
2024-09-18 15:00:00,1003.092330186317,312.50326088041567,260.83981600135746
2024-09-18 16:00:00,1001.0227899727753,313.1721553302855,261.0399259957296
2024-09-18 17:00:00,998.9532497592337,313.84104978015523,261.24003599010183
2024-09-18 18:00:00,996.883709545692,314.50994423002504,261.440145984474
2024-09-18 19:00:00,996.6178810951712,312.1474668421079,261.5333525122774
2024-09-18 20:00:00,996.3520526446504,309.78498945419085,261.6265590400808
2024-09-18 21:00:00,996.0862241941296,307.4225120662737,261.7197655678842
2024-09-18 22:00:00,996.8815214393156,305.3185195831906,261.6995279114067
2024-09-18 23:00:00,997.6768186845015,303.21452710010743,261.6792902549291
2024-09-19 00:00:00,998.4721159296876,301.1105346170243,261.6590525984515
2024-09-19 01:00:00,998.3066292760417,300.1607900374001,261.723064224676
2024-09-19 02:00:00,998.1411426223958,299.2110454577758,261.7870758509005
2024-09-19 03:00:00,997.97565596875,298.2613008781516,261.851087477125
2024-09-19 04:00:00,996.9022825516889,298.11733553670484,261.8840339106798
2024-09-19 05:00:00,995.828909134628,297.97337019525816,261.91698034423456
2024-09-19 06:00:00,994.755535717567,297.8294048538114,261.94992677778936
2024-09-19 07:00:00,994.6754982826712,297.87321706980936,261.91374432752474
2024-09-19 08:00:00,994.5954608477754,297.9170292858073,261.8775618772601
2024-09-19 09:00:00,994.5154234128796,297.96084150180525,261.8413794269955
2024-09-19 10:00:00,995.3090523637948,300.0906840459775,261.873868510887
2024-09-19 11:00:00,996.10268131471,302.22052659014975,261.90635759477846
2024-09-19 12:00:00,996.8963102656252,304.350369134322,261.93884667866996
