,datetime,muons,IoTPC,lab_temp,Ps,TMP_MSS
456,2024-10-05 18:00:00,1907.054,1899.567329595672,289.83166666666665,1000.633834092567,263.0444937674606
457,2024-10-05 19:00:00,1895.584,1887.1359509401468,289.93833333333333,999.9248173611904,263.09465290670323
458,2024-10-05 20:00:00,1905.3335000000004,1895.0941453438627,289.92,999.215800629814,263.1448120459459
459,2024-10-05 21:00:00,1903.9460000000004,1892.2829482176237,289.955,998.5067838984376,263.19497118518854
460,2024-10-05 22:00:00,1895.8985000000005,1885.062669122944,289.815,999.2106993567708,263.17219817700663
461,2024-10-05 23:00:00,1890.6445,1880.244429842852,289.6116666666667,999.9146148151044,263.14942516882473
462,2024-10-06 00:00:00,1898.3775,1889.3605186615573,289.58166666666665,1000.6185302734376,263.12665216064283
463,2024-10-06 01:00:00,1882.3935,1873.6516233334385,289.7133333333333,1000.3429910725224,263.06139155759206
464,2024-10-06 02:00:00,1885.6830508474577,1875.5499971408904,289.575,1000.0674518716072,262.99613095454134
465,2024-10-06 03:00:00,1897.2675,1887.536950766022,289.75166666666667,999.791912670692,262.93087035149057
466,2024-10-06 04:00:00,1889.0905,1881.7236470760176,289.9533333333333,1000.2534206576712,262.7837683651801
467,2024-10-06 05:00:00,1882.6895,1876.166245427593,289.8983333333333,1000.7149286446504,262.6366663788696
468,2024-10-06 06:00:00,1885.779,1880.913327189822,289.98833333333334,1001.1764366316296,262.48956439255915
469,2024-10-06 07:00:00,1864.0785,1857.391116111189,289.8566666666667,1000.657962498817,262.4453271766001
470,2024-10-06 08:00:00,1870.683,1862.9389668535528,289.87166666666667,1000.1394883660046,262.40108996064095
471,2024-10-06 09:00:00,1876.159,1868.7898559383027,290.1333333333333,999.621014233192,262.3568527446819
472,2024-10-06 10:00:00,1882.0235000000005,1875.3784189473345,289.92833333333334,1000.470063105982,262.29607451211126
473,2024-10-06 11:00:00,1874.677118644068,1869.8779053811052,289.90833333333336,1001.3191119787724,262.2352962795406
474,2024-10-06 12:00:00,1882.6155,1880.6875648257455,290.07,1002.1681608515626,262.17451804697
475,2024-10-06 13:00:00,1876.973,1876.2389648144028,290.2183333333333,1002.3230830881474,262.2067888154529
476,2024-10-06 14:00:00,1874.0315,1873.193921055309,290.145,1002.4780053247322,262.23905958393584
477,2024-10-06 15:00:00,1853.5335,1878.202901435237,294.485,1002.632927561317,262.2713303524188
478,2024-10-06 16:00:00,1828.07593220339,1868.56574782344,297.9083333333333,1001.020689244003,262.36909388739707
479,2024-10-06 17:00:00,1832.1124137931035,1876.2064364996415,299.14166666666665,999.4084509266892,262.46685742237537
480,2024-10-06 18:00:00,1794.315,1839.05982597288,300.045,997.7962126093752,262.56462095735367
481,2024-10-06 19:00:00,1794.0801923076924,1842.9215737696543,300.7966666666667,997.7165006953128,262.60052683409515
482,2024-10-06 20:00:00,1771.6987500000002,1823.6129891559535,301.4816666666667,997.63678878125,262.6364327108367
483,2024-10-06 21:00:00,1769.044,1823.3450291115687,301.95166666666665,997.5570768671876,262.67233858757817
484,2024-10-06 22:00:00,1762.932272727273,1820.386791445056,302.27,998.3015753693974,262.7766021911806
485,2024-10-06 23:00:00,1751.4875000000002,1811.6128249272056,302.53833333333336,999.0460738716072,262.880865794783
486,2024-10-07 00:00:00,1766.9492307692308,1829.504979781827,302.6,999.790572373817,262.9851293983854
487,2024-10-07 01:00:00,1754.1027272727274,1816.2186855867917,302.665,999.6300499128796,262.9914986801926
488,2024-10-07 02:00:00,1756.2420000000002,1818.94834219431,302.8183333333333,999.469527451942,262.99786796199976
489,2024-10-07 03:00:00,1802.9637500000003,1829.8918408566688,296.3666666666667,999.3090049910044,263.0042372438069
490,2024-10-07 04:00:00,1843.5805000000005,1839.9423971393169,291.35,998.3126347440028,263.03413312060616
491,2024-10-07 05:00:00,1846.041,1835.788103746296,290.58,997.3162644970014,263.0640289974054
492,2024-10-07 06:00:00,1852.7195,1837.4662961176184,290.09833333333336,996.31989425,263.0939248742046
493,2024-10-07 07:00:00,1869.0735,1854.070573018539,289.905,996.9841925568973,263.0506972901092
494,2024-10-07 08:00:00,1875.123,1861.190747945584,289.8383333333333,997.6484908637948,263.0074697060138
495,2024-10-07 09:00:00,1878.3235,1866.2049146512877,289.895,998.312789170692,262.9642421219184
496,2024-10-07 10:00:00,1875.2895000000003,1862.3035527085824,289.94,997.849720775253,263.1287149763781
497,2024-10-07 11:00:00,1884.854,1869.6990659853147,289.77666666666664,997.386652379814,263.29318783083795
498,2024-10-07 12:00:00,1875.0675,1858.9902144492,289.8016666666667,996.923583984375,263.4576606852977
499,2024-10-07 13:00:00,1881.7460000000003,1864.9363736870148,289.69666666666666,996.9627428746056,263.6686966863668
500,2024-10-07 14:00:00,1876.3810000000003,1858.1564975547892,289.455,997.0019017648364,263.8797326874357
501,2024-10-07 15:00:00,1891.3845,1874.3075240273947,289.68833333333333,997.041060655067,264.09076868850474
502,2024-10-07 16:00:00,1889.9600000000005,1871.1760571784732,289.99333333333334,995.545170355588,264.3057996436354
503,2024-10-07 17:00:00,1887.592,1866.31245948746,290.16,994.0492800561088,264.520830598766
506,2024-10-07 20:00:00,1899.2655,1871.0438491196735,289.9766666666667,991.4951532138392,264.5669528526105
507,2024-10-07 21:00:00,1900.2275,1870.84331385524,289.9716666666667,990.9660349424438,264.4824985019674
508,2024-10-07 22:00:00,1884.0215,1856.5476464076376,290.12333333333333,991.3302445553792,264.51209029640586
509,2024-10-07 23:00:00,1892.55,1865.7209889572823,290.12,991.6944541683146,264.54168209084423
510,2024-10-08 00:00:00,1899.8205,1872.981248093828,290.0,992.05866378125,264.57127388528266
511,2024-10-08 01:00:00,1887.629,1860.0957650629184,289.80333333333334,992.1431679683556,264.4548995580975
512,2024-10-08 02:00:00,1888.2395,1859.8119890790863,289.6033333333333,992.2276721554612,264.33852523091235
513,2024-10-08 03:00:00,1883.596,1854.6920420262536,289.46166666666664,992.312176342567,264.2221509037272
514,2024-10-08 04:00:00,1898.589152542373,1869.3055173189389,289.39,992.4180784992112,264.17954374473743
515,2024-10-08 05:00:00,1894.2705,1866.5674733176231,289.605,992.5239806558556,264.13693658574766
516,2024-10-08 06:00:00,1903.5945,1877.3945608794504,289.84,992.6298828125,264.0943294267579
517,2024-10-08 07:00:00,1897.6375,1872.422570877018,289.705,993.2406646197916,263.64701333217306
518,2024-10-08 08:00:00,1898.626779661017,1876.0131604300689,289.86333333333334,993.8514464270836,263.19969723758817
